id,kandidat,valg,parti,rangering,rangering_original,valgt,personstemmer,slengere,partistemmer,partiprosent,parti_original,count,election,total_hits,decay,hits_after_list_public,cum_hits,hits_before_list_public
kandidat001147,Kjell Dahle,2007,sp,26,20,Ikke valgt,17,3,2189,0.81,Senterpartiet,20,2007-09-10,655,10.7106390610101,15,1156,1141
kandidat001148,Kjell Dahle,2011,sp,28,26,Ikke valgt,9,5,1591,0.51,Senterpartiet,14,2011-09-12,267,3.33854673816934,9,1423,1414
kandidat001149,Kjell Dahle,2015,sp,30,29,Ikke valgt,17,3,1926,0.6,Senterpartiet,20,2015-09-14,593,14.9954924856957,38,2016,1978
kandidat001150,Kjell Danielsen,2011,pp,27,29,Ikke valgt,7,2,1045,0.34,Pensjonistpartiet,9,2011-09-12,118,1.13066784806572,2,205,203
kandidat001151,Kjell Danielsen,2015,pp,10,10,Ikke valgt,17,5,1169,0.36,Pensjonistpartiet,22,2015-09-14,91,3.76036465893209,6,296,290
kandidat001152,Kjell Johansen,2007,frp,43,35,Ikke valgt,128,5,38873,14.3,Fremskrittspartiet,133,2007-09-10,906,57.3205952905698,177,1960,1783
kandidat001153,Kjell Johansen,2011,frp,17,17,Ikke valgt,156,12,21852,7.04,Fremskrittspartiet,168,2011-09-12,1850,35.1705470250115,71,3810,3739
kandidat001154,Kjell Johansen,2015,frp,31,32,Ikke valgt,105,15,19311,6.03,Fremskrittspartiet,120,2015-09-14,1868,46.2744245503209,106,5678,5572
kandidat001155,Kjell Magne Veivåg,2011,v,29,65,Ikke valgt,141,28,25351,8.17,Venstre,169,2011-09-12,13,0.977262590080544,1,22,21
kandidat001156,Kjell Omdal Erichsen,2007,h,38,21,Ikke valgt,387,14,68475,25.19,Høyre,401,2007-09-10,3,2.58350575474627,3,3,0
kandidat001157,Kjell Omdal Erichsen,2011,h,50,23,Ikke valgt,368,19,110776,35.7,Høyre,387,2011-09-12,34,1.71741055844611,3,37,34
kandidat001158,Kjell Omdal Erichsen,2015,h,62,33,Ikke valgt,272,18,101882,31.8,Høyre,290,2015-09-14,23,2.12479606629085,3,60,57
kandidat001159,Kjell Rendum,2007,kp,27,33,Ikke valgt,2,0,120000,0.04,Kystpartiet,2,NA,0,0,0,0,0
kandidat001160,Kjell Rendum,2015,kp,12,12,Ikke valgt,5,1,124,0.04,Kystpartiet,6,NA,0,0,0,0,0
kandidat001161,Kjell Stensson,2015,pp,20,15,Ikke valgt,8,2,1169,0.36,Pensjonistpartiet,10,2015-09-14,5,0.0219717026254949,0,14,14
kandidat001162,Kjell Veivåg,2007,v,5,3,Valgt,1002,191,23703,8.72,Venstre,1193,2007-09-10,364,135.401728081445,176,1050,874
kandidat001163,Kjell Veivåg,2015,v,48,65,Ikke valgt,99,17,21986,6.86,Venstre,116,2015-09-14,246,2.65339705600685,3,2630,2627
kandidat001164,Kjetil Aalerud,2007,dem,18,24,Ikke valgt,3,1,306000,0.11,Demokratene,4,2007-09-10,1,3.27458551874678e-14,0,1,1
kandidat001165,Kjetil Braut Simonsen,2007,da,5,5,Ikke valgt,14,5,191000,0.07,Demokratisk Alternativ for Oslo,19,2007-09-10,1,9.21830611290832e-14,0,1,1
kandidat001166,Kjetil Hetland,2007,sp,24,25,Ikke valgt,13,8,2189,0.81,Senterpartiet,21,2007-09-10,3,0.0279331283883512,0,8,8
kandidat001167,Kjetil Hetland,2011,sp,39,36,Ikke valgt,8,2,1591,0.51,Senterpartiet,10,2011-09-12,7,0.00301846298644237,0,15,15
kandidat001168,Kjetil Hetland,2015,sp,29,46,Ikke valgt,17,4,1926,0.6,Senterpartiet,21,2015-09-14,6,0.0562769180055898,0,21,21
kandidat001169,Kjetil Ottar Eritzland,2011,v,53,32,Ikke valgt,75,4,25351,8.17,Venstre,79,NA,0,0,0,0,0
kandidat001170,Klara Lie,2007,krf,18,43,Ikke valgt,69,11,8368,3.08,Kristelig Folkeparti,80,2007-09-10,9,1.35848232539812,7,51,44
kandidat001171,Klaus Stafto,2007,mdg,65,53,Ikke valgt,1,0,1687,0.62,Miljøpartiet De Grønne,1,2007-09-10,5,0.0006975056482254,0,10,10
kandidat001172,Klaus Stafto,2011,mdg,23,23,Ikke valgt,50,10,7653,2.47,Miljøpartiet De Grønne,60,2011-09-12,10,0.0132575709860099,0,20,20
kandidat001173,Knut Elgsaas,2007,ap,47,35,Ikke valgt,423,18,81265,29.89,Det norske Arbeiderparti,441,2007-09-10,45,3.68170425761465,8,113,105
kandidat001174,Knut Enebakk,2011,ksp,6,7,Ikke valgt,13,3,235000,0.08,Kristent Samlingsparti,16,NA,0,0,0,0,0
kandidat001175,Knut Erik Thomassen,2007,pp,8,11,Ikke valgt,15,5,1414,0.52,Pensjonistpartiet,20,2007-09-10,2,0.00385924333235057,0,39,39
kandidat001176,Knut Even Lindsjørn,2007,sv,3,1,Valgt,1984,457,28701,10.56,Sosialistisk Venstreparti,2441,2007-09-10,1054,292.092435649908,469,1351,882
kandidat001177,Knut Falchenberg,2007,h,36,22,Ikke valgt,394,9,68475,25.19,Høyre,403,2007-09-10,42,0.940547253256423,1,442,441
kandidat001178,Knut Falchenberg,2015,h,52,48,Ikke valgt,345,23,101882,31.8,Høyre,368,2015-09-14,35,0.698071982369307,3,740,737
kandidat001179,Knut Falk Qvigstad,2011,mdg,13,11,Ikke valgt,94,16,7653,2.47,Miljøpartiet De Grønne,110,2011-09-12,5,0.624677976161228,1,5,4
kandidat001180,Knut Felberg,2007,osby,45,20,Ikke valgt,6,4,1466,0.54,Oslo Byaksjon,10,2007-09-10,51,1.57100458062477,2,77,75
kandidat001181,Knut Frederik Horn,2015,mdg,50,38,Ikke valgt,116,23,26096,8.14,Miljøpartiet De Grønne,139,2015-09-14,6,0.0980154765126179,1,21,20
kandidat001182,Knut Gardbu,2007,h,44,27,Ikke valgt,293,1,68475,25.19,Høyre,294,2007-09-10,2,0.233946672800945,1,9,8
kandidat001183,Knut Hartmann Olsen,2007,nkp,1,1,Ikke valgt,26,36,203000,0.07,Norges Kommunistiske Parti,62,2007-09-10,2,2.17399009820026e-10,0,5,5
kandidat001184,Knut Hedemann,2011,ap,56,50,Ikke valgt,393,14,102707,33.1,Det norske Arbeiderparti,407,2011-09-12,90,5.55327437492359,8,202,194
kandidat001185,Knut H. Frølich,2007,osby,54,33,Ikke valgt,4,3,1466,0.54,Oslo Byaksjon,7,2007-09-10,5,5.12365271381204e-06,0,8,8
kandidat001186,Knut Johan Øen,2007,mdg,51,31,Ikke valgt,5,1,1687,0.62,Miljøpartiet De Grønne,6,NA,0,0,0,0,0
kandidat001187,Knut Jørgen Justad,2007,kp,43,23,Ikke valgt,0,0,120000,0.04,Kystpartiet,0,NA,0,0,0,0,0
kandidat001188,Knut Kjeldstadli,2015,sv,28,50,Ikke valgt,191,42,17445,5.44,Sosialistisk Venstreparti,233,2015-09-14,525,13.3819402207051,58,1611,1553
kandidat001189,Knut Mønnesland,2007,dlf,3,8,Ikke valgt,7,2,127000,0.05,Det Liberale Folkepartiet,9,NA,0,0,0,0,0
kandidat001190,Knut Nærum,2011,rv,12,62,Ikke valgt,596,159,11257,3.63,Rødt,755,2011-09-12,3606,84.1874518707199,222,6613,6391
kandidat001191,Knut-Olaf Skarvang,2007,frp,26,20,Ikke valgt,190,13,38873,14.3,Fremskrittspartiet,203,2007-09-10,7,1.07351121689168,2,8,6
kandidat001192,Knut Riis,2007,frp,46,45,Ikke valgt,110,2,38873,14.3,Fremskrittspartiet,112,2007-09-10,12,0.56080371443334,1,30,29
kandidat001193,Knut Robøle,2015,krf,50,46,Ikke valgt,24,4,7827,2.44,Kristelig Folkeparti,28,2015-09-14,21,0.083588471385513,0,67,67
kandidat001194,Knut Roger Andersen,2007,ap,25,45,Vara,830,75,81265,29.89,Det norske Arbeiderparti,905,2007-09-10,195,18.5358613236963,37,537,500
